Job Class,Percentage,Links
Management,6.1,https://www.forbes.com/sites/deloitte/2020/09/16/engaging-millennial-and-gen-z-employees-in-the-post-pandemic-future/#6ae26cec718a
Business and Financial operations,5,https://www.sba.gov/business-guide/10-steps-start-your-business
Computer and Mathematical,2.7,https://www.oxfordscholastica.com/blog/become-computer-scientist/
Architecture and Engineering,1.7,https://www.indeed.com/career-advice/career-development/how-to-become-an-architect
"Life, Physical and Social Science",0.9,https://www.careerexplorer.com/careers/scientist/how-to-become/
Community and Social Service,1.6,https://www.onlinemswprograms.com/careers/how-to-become-a-social-worker/
Legal,0.8,https://www.learnhowtobecome.org/lawyer/
"Education, training and library",6.1,https://www.nysut.org/resources/special-resources-sites/look-at-teaching/becoming-a-teacher/traditional-path
"Arts, design, entertainment, sports and media",1.7,https://study.com/articles/How_to_Become_a_Professional_Entertainer_Career_Roadmap.html
Healthcare practioners and technical,5.5,https://study.com/articles/How_to_Become_a_Healthcare_Practitioner_Career_Guide.html
Healthcare support,2.8,https://www.thebalancecareers.com/health-care-support-careers-525634
Protective service,2.3,https://study.com/articles/Protective_Service_Worker_Job_Description_and_Education_Requirements.html
Food preparation and serving,8.3,https://collegegrad.com/careers/food-preparation-workers
Building and grounds cleaning and maintenance,3.7,https://www.zippia.com/grounds-cleaner-jobs/
Personal care and service,4,https://www.seek.com.au/career-advice/role/personal-care-assistant
Sales,10.2,https://builtin.com/sales/sales-career-path
Office and administrative support,15.1,https://www.indeed.com/career-advice/careers/what-does-an-office-administrator-do
"Farming, fishing and forestry",0.6,https://www.citytowninfo.com/employment-categories/farming-fishing-and-forestry
Construction and extraction,4.3,https://collegegrad.com/careers/construction-and-extraction
"Installation, maintenance and repair",3.8,https://collegegrad.com/careers/installation-maintenance-and-repair
Production,6.1,https://www.softwareadvice.com/resources/anyone-can-be-a-manufacturer/
Transportation and material moving,6.5,https://www.livecareer.com/resources/jobs/search/transportation
Total,99.8,
